Date,Open,High,Low,Close,Volume,$Turnover,Volatility
2010-04-25,0.003,0.003,0.003,0.003,1000,3,0
2010-04-26,0.003,0.003,0.003,0.003,1300,3.9,0
2010-04-30,0.003,0.003,0.003,0.003,173,0.519,0
2010-05-01,0.003,0.003,0.003,0.003,174,0.522,0
2010-05-02,0.003,0.003,0.003,0.003,174,0.522,0
2010-05-03,0.003,0.003,0.003,0.003,174,0.522,0
2010-05-04,0.003,0.003,0.003,0.003,2500,7.5,0
2010-05-05,0.0031,0.0035,0.0031,0.0035,6100,20.13,0.0004
2010-05-06,0.004,0.0043,0.004,0.0043,2622,10.8813,0.0003
2010-05-07,0.0042899999999999995,0.0042899999999999995,0.0042,0.0042,1822,7.6524,0.0000899999999999998
2010-05-08,0.0034990000000000004,0.0034990000000000004,0.0034990000000000004,0.0034990000000000004,150,,0
2010-05-10,0.0039,0.0039,0.0039,0.0039,10500,40.95,0
2010-05-11,0.004,0.0041,0.004,0.0041,5878,23.8059,0.0001
2010-05-12,0.0042,0.00442,0.0042,0.004416,21081,90.85911,0.000220000000000001
2010-05-14,0.004,0.004,0.004,0.004,900,3.6,0
2010-05-18,0.00465,0.00465,0.0045,0.0045,2550,11.66625,0.00015
2010-05-19,0.00455,0.004592000000000001,0.00455,0.004592000000000001,20000,91,0.0000420000000000004
2010-05-20,0.0045,0.0045,0.0045,0.0045,222,0.999,0
2010-05-22,0.004292,0.0047,0.004292,0.0047,20000,89.92,0.000408
2010-05-23,0.0049,0.0049,0.0045,0.0045,2000,9.4,0.0004
2010-05-25,0.004845,0.004845,0.004845,0.004845,2000,9.69,0
2010-05-26,0.004598,0.004598,0.004598,0.004598,2000,9.196,0
2010-05-27,0.004598,0.004598,0.004598,0.004598,2500,11.495,0
2010-05-28,0.004547,0.004547,0.004547,0.004547,2500,11.3675,0
2010-05-29,0.004485,0.004485,0.004485,0.004485,19884,89.17974,0
2010-05-30,0.004485,0.004485,0.004485,0.004485,10000,44.85,0
2010-06-04,0.004,0.004,0.004,0.004,2000,8,0
2010-06-07,0.0046,0.0046,0.0045,0.0045,6100,27.755,0.0001
2010-06-08,0.003992,0.003992,0.003992,0.003992,400,1.5968,0
2010-06-09,0.00455,0.0046,0.00455,0.0046,3600,16.47,0.0000499999999999997
2010-06-10,0.005,0.005,0.005,0.005,10000,50,0
2010-06-14,0.005,0.005,0.005,0.005,900,4.5,0
2010-06-18,0.004975,0.004975,0.004975,0.004975,5000,24.875,0
2010-06-22,0.004975,0.004975,0.004975,0.004975,4000,19.9,0
2010-06-23,0.004963,0.005,0.00495,0.005,13700,68.1575,0.0000499999999999997
2010-06-24,0.00505,0.0054,0.005,0.005,13000,67.6,0.0004
2010-06-26,0.0044,0.0044,0.0044,0.0044,10000,44,0
2010-06-28,0.005045,0.0058,0.0044,0.0058,61300,312.63,0.0014
2010-06-30,0.0054,0.0054,0.0054,0.0054,2500,13.5,0
2010-07-01,0.0055,0.0066,0.0055,0.0066,31300,189.365,0.0011
2010-07-02,0.0055,0.0055,0.0055,0.0055,100,0.55,0
2010-07-03,0.006135,0.0065,0.0055,0.0065,5100,30.6,0.001
2010-07-04,0.0055,0.006790000000000001,0.0055,0.006790000000000001,10100,55.55,0.00129
2010-07-05,0.0055,0.008,0.0055,0.008,12100,81.675,0.0025
2010-07-06,0.00575,0.00575,0.00575,0.00575,100,0.575,0
2010-07-07,0.00575,0.008,0.00575,0.008,2100,14.4375,0.00225
2010-07-08,0.00625,0.00634,0.00625,0.00634,600,3.777,0.0000899999999999998
2010-07-10,0.00805,0.0081,0.00805,0.0081,5600,45.22,0.0000499999999999997
2010-07-11,0.008445000000000001,0.008445000000000001,0.006999999999999999,0.006999999999999999,7500,,0.001445
2010-07-12,0.012,0.013999999999999999,0.01,0.013999999999999999,20300,203,0.004
2010-07-13,0.01595,0.017,0.0125,0.0125,9425,139.01875,0.0045
2010-07-14,0.01825,0.0625,0.008,0.015,13500,475.875,0.0545
2010-07-15,0.02505,0.07245,0.019,0.045,15200,695.02,0.05345
