,close,high,low,open,time,volumefrom,volumeto
0,4.88,5.29,4.65,5.22,2012-01-03,125170.25,619170.54
1,5.57,5.7,4.75,4.88,2012-01-04,131170.86,688717.86
2,6.95,7.22,5.57,5.57,2012-01-05,182328.19,1130623.29
3,6.7,7.21,6.13,6.95,2012-01-06,218077.48,1481327.88
4,6.81,7.02,6.38,6.7,2012-01-07,48387.58,325053.98
5,7.11,7.2,6.73,6.81,2012-01-08,57193.53,403151.44
6,6.33,7.19,5.81,7.11,2012-01-09,148406.85,960592.31
7,6.36,6.89,6.0,6.33,2012-01-10,110210.25,705056.48
8,6.9,7.14,6.41,6.36,2012-01-11,99442.07,677642.84
9,6.8,7.0,6.34,6.9,2012-01-12,140116.52,944165.94
10,6.41,6.8,6.4,6.8,2012-01-13,60228.77,398312.18
11,6.75,6.95,6.22,6.41,2012-01-14,141896.32,935192.51
12,7.0,7.08,6.74,6.75,2012-01-15,62233.33,429700.86
13,6.68,7.19,6.51,7.0,2012-01-16,122666.57,837413.61
14,5.6,6.95,4.64,6.68,2012-01-17,213409.8,1288538.97
15,5.92,6.95,5.1,5.6,2012-01-18,226680.97,1354753.44
16,6.36,6.36,5.87,5.92,2012-01-19,114820.45,709705.27
17,6.49,6.58,6.26,6.36,2012-01-20,66786.48,429803.56
18,6.18,6.55,6.1,6.49,2012-01-21,64761.69,407116.4
19,6.31,6.45,6.1,6.18,2012-01-22,44890.65,282233.76
20,6.36,6.39,6.21,6.31,2012-01-23,17693.05,111630.55
21,6.29,6.39,6.22,6.36,2012-01-24,35663.08,224665.59
22,5.75,6.32,5.5,6.29,2012-01-25,133115.25,782053.65
23,5.34,5.92,5.3,5.75,2012-01-26,123954.11,692624.73
24,5.29,5.51,5.05,5.34,2012-01-27,115567.83,611581.18
25,5.63,5.76,5.26,5.29,2012-01-28,89708.02,499881.49
26,5.38,5.7,5.33,5.63,2012-01-29,46430.45,254457.17
27,5.49,5.6,5.37,5.38,2012-01-30,42303.14,233179.7
28,5.48,5.65,5.43,5.49,2012-01-31,48296.66,267099.31
29,6.08,6.2,5.47,5.48,2012-02-01,115523.96,672632.58
30,6.1,6.2,5.82,6.08,2012-02-02,54546.27,328716.58
31,5.96,6.14,5.72,6.1,2012-02-03,59279.85,350818.69
32,5.87,5.99,5.84,5.96,2012-02-04,20619.6,122071.46
33,5.69,5.88,5.45,5.87,2012-02-05,120336.02,683010.86
34,5.45,5.72,5.45,5.69,2012-02-06,90258.84,500693.58
35,5.69,5.78,5.45,5.45,2012-02-07,72748.36,408854.24
36,5.6,5.85,5.3,5.69,2012-02-08,237943.12,1342007.99
37,5.83,5.92,5.5,5.6,2012-02-09,89946.12,516915.55
38,5.91,5.99,5.8,5.83,2012-02-10,39304.91,230967.96
39,5.6,6.0,5.54,5.91,2012-02-11,69711.29,397688.29
40,5.51,5.85,5.43,5.6,2012-02-12,81917.16,459004.75
41,5.26,5.72,5.2,5.51,2012-02-13,170210.59,909500.32
42,4.46,5.45,4.21,5.26,2012-02-14,297572.02,1399443.95
43,4.33,4.88,4.2,4.46,2012-02-15,161800.56,741639.35
44,4.27,4.44,3.88,4.33,2012-02-16,166594.52,697818.37
45,4.41,4.77,4.23,4.27,2012-02-17,135949.41,606244.08
46,4.22,4.5,4.12,4.41,2012-02-18,70406.17,300903.53
47,4.39,4.52,4.18,4.22,2012-02-19,62365.41,271300.43
48,4.36,4.47,4.29,4.39,2012-02-20,37299.13,162939.76
49,4.27,4.4,4.21,4.36,2012-02-21,51784.83,222970.81
50,4.42,4.54,4.27,4.27,2012-02-22,103836.79,460671.29
51,5.01,5.2,4.42,4.42,2012-02-23,164308.47,792557.08
52,5.03,5.1,4.83,5.01,2012-02-24,89828.05,446896.98
53,4.77,5.07,4.65,5.03,2012-02-25,86163.6,420213.07
54,4.92,5.1,4.77,4.77,2012-02-26,70034.61,347092.76
55,4.96,4.99,4.89,4.92,2012-02-27,29371.64,145288.76
56,4.87,5.0,4.74,4.96,2012-02-28,62691.08,305075.07
57,4.86,4.9,4.8,4.87,2012-02-29,26539.25,129089.93
58,4.92,4.99,4.86,4.86,2012-03-01,44183.64,218150.92
59,4.7,4.95,4.51,4.92,2012-03-02,130764.74,613272.66
60,4.61,4.78,4.51,4.7,2012-03-03,40075.06,187646.64
61,4.82,4.95,4.61,4.61,2012-03-04,58826.16,283142.41
62,4.98,5.05,4.82,4.82,2012-03-05,65828.18,325526.7
63,4.99,5.07,4.9,4.98,2012-03-06,44532.27,221579.34
64,4.94,5.05,4.84,4.99,2012-03-07,46167.56,227645.86
65,4.93,5.0,4.76,4.94,2012-03-08,58089.4,283093.81
66,4.86,4.95,4.82,4.93,2012-03-09,32723.03,160227.85
67,4.83,4.91,4.75,4.86,2012-03-10,28070.74,135426.18
68,4.91,4.99,4.81,4.83,2012-03-11,42442.93,208576.68
69,4.89,4.95,4.86,4.91,2012-03-12,22048.15,108198.98
70,5.27,5.41,4.87,4.89,2012-03-13,127325.05,656673.85
71,5.38,5.45,5.25,5.27,2012-03-14,62889.72,337721.85
72,5.33,5.45,5.26,5.38,2012-03-15,41077.61,219063.81
73,5.34,5.4,5.3,5.33,2012-03-16,32718.79,174983.16
74,5.22,5.4,5.21,5.34,2012-03-17,39100.23,207915.56
75,5.28,5.34,5.21,5.22,2012-03-18,22857.01,120310.25
76,4.69,5.31,4.5,5.28,2012-03-19,188889.07,922722.01
77,4.84,4.9,4.59,4.69,2012-03-20,66343.85,318065.31
78,4.81,4.87,4.75,4.84,2012-03-21,46436.88,223605.57
79,4.7,4.88,4.6,4.81,2012-03-22,58069.92,276226.9
80,4.69,4.79,4.6,4.7,2012-03-23,54129.94,254329.72
81,4.68,4.73,4.6,4.69,2012-03-24,39068.59,181738.16
82,4.55,4.68,4.3,4.68,2012-03-25,71556.26,322035.23
83,4.62,4.74,4.52,4.55,2012-03-26,69838.07,324896.28
84,4.81,4.85,4.49,4.62,2012-03-27,73431.76,342922.08
85,4.79,4.84,4.72,4.81,2012-03-28,38017.12,182050.5
86,4.81,4.86,4.71,4.79,2012-03-29,37974.76,180963.57
87,4.86,4.88,4.72,4.81,2012-03-30,39071.84,187496.45
88,4.91,4.95,4.82,4.86,2012-03-31,35529.09,173670.93
89,4.83,4.92,4.73,4.91,2012-04-01,35950.6,172377.67
90,4.97,5.08,4.76,4.83,2012-04-02,80663.98,398480.61
91,4.95,4.99,4.81,4.97,2012-04-03,78481.21,384710.33
92,4.91,4.97,4.89,4.95,2012-04-04,51040.82,251784.97
93,4.92,4.93,4.87,4.91,2012-04-05,33807.18,165880.2
94,4.95,4.98,4.88,4.92,2012-04-06,58211.45,287735.13
95,4.69,4.95,4.69,4.95,2012-04-07,80945.75,388783.68
96,4.79,4.8,4.62,4.69,2012-04-08,41972.77,197917.32
97,4.87,4.88,4.73,4.79,2012-04-09,39243.69,187709.3
98,4.84,4.9,4.76,4.87,2012-04-10,53101.77,256671.37
99,4.93,4.98,4.79,4.84,2012-04-11,67035.83,327827.09
100,4.92,4.95,4.84,4.93,2012-04-12,46368.68,226872.24
101,4.94,4.94,4.73,4.92,2012-04-13,93111.86,452385.87
102,4.96,5.03,4.9,4.94,2012-04-14,63887.71,317996.1
103,4.97,4.98,4.86,4.96,2012-04-15,33343.95,163921.54
104,4.93,4.98,4.91,4.97,2012-04-16,31159.52,154236.34
105,4.98,5.02,4.93,4.93,2012-04-17,30645.71,151983.96
106,5.12,5.18,4.96,4.98,2012-04-18,79130.2,401659.4
107,5.14,5.19,5.1,5.12,2012-04-19,46675.15,240310.56
108,5.35,5.48,5.1,5.14,2012-04-20,104068.95,544263.48
109,5.26,5.48,5.11,5.35,2012-04-21,60922.26,321118.73
